date,volume,price
10:06:41,850,6260.0
10:07:04,10534,6260.0
10:07:04,28616,6260.0
10:07:05,813,6260.0
10:07:08,41178,6260.0
10:07:08,29601,6260.0
10:07:08,13067,6260.0
10:07:08,10128,6260.0
10:07:08,26039,6260.0
10:07:08,58175,6260.0
10:07:08,21812,6260.0
10:07:10,1025,6260.0
10:07:10,15095,6260.0
10:07:19,2000,6260.0
10:07:23,17156,6260.0
10:07:23,37844,6260.0
10:07:33,2031,6260.0
10:07:44,51029,6260.0
10:07:44,26348,6260.0
10:07:44,12623,6260.0
10:07:50,1588,6270.0
10:08:00,810,6270.0
10:08:09,800,6260.0
10:08:12,80599,6260.0
10:08:17,107,6260.0
10:08:17,2452,6260.0
10:08:29,6129,6260.0
10:08:30,16522,6260.0
10:08:44,7501,6270.0
10:08:44,2499,6270.0
10:08:57,5000,6270.0
10:09:01,22805,6260.0
10:09:01,25335,6260.0
10:09:01,51832,6260.0
10:09:01,13814,6260.0
10:09:10,8000,6270.0
10:09:10,4501,6270.0
10:09:10,8623,6270.0
10:09:10,734,6270.0
10:09:10,904,6270.0
10:09:10,3802,6270.0
10:09:10,1436,6270.0
10:09:13,4000,6260.0
10:09:15,2654,6260.0
10:09:23,616,6260.0
10:09:24,2000,6260.0
10:09:34,4496,6270.0
10:09:43,10034,6270.0
10:09:43,1808,6270.0
10:09:43,15158,6270.0
10:09:49,5000,6260.0
10:09:59,44045,6260.0
10:09:59,59029,6260.0
10:09:59,15156,6260.0
10:09:59,8391,6260.0
10:10:00,11962,6270.0
10:10:00,1665,6270.0
10:10:02,1000,6260.0
10:10:24,20000,6260.0
10:10:25,3000,6270.0
10:10:27,3924,6270.0
10:10:28,20000,6270.0
10:10:32,1949,6270.0
10:10:35,1440,6260.0
10:10:35,1560,6260.0
10:10:35,20000,6270.0
10:10:40,12785,6270.0
10:10:40,7215,6270.0
10:10:40,4124,6260.0
10:10:45,89875,6260.0
10:10:45,6478,6260.0
10:10:51,20000,6270.0
10:10:55,4954,6260.0
10:10:57,13786,6260.0
10:10:57,44622,6260.0
10:11:02,12132,6270.0
10:11:02,7868,6270.0
10:11:13,12132,6270.0
10:11:13,5070,6270.0
10:11:13,2798,6270.0
10:11:15,7100,6270.0
10:11:25,20000,6270.0
10:11:32,32661,6270.0
10:11:32,1765,6270.0
10:11:32,10000,6270.0
10:11:32,100901,6280.0
10:11:32,54673,6280.0
10:11:37,145327,6280.0
10:11:37,3000,6280.0
10:11:37,2000,6280.0
10:11:37,49673,6280.0
10:11:40,150327,6280.0
10:11:40,27959,6280.0
10:11:40,5000,6280.0
10:11:40,16714,6280.0
10:11:43,33286,6280.0
10:11:43,2000,6280.0
10:11:43,2098,6280.0
10:11:43,888,6280.0
10:11:43,5000,6280.0
10:11:43,10000,6280.0
10:11:43,100000,6280.0
10:11:50,2000,6280.0
10:11:55,44728,6280.0
10:11:55,55272,6280.0
10:12:01,4000,6280.0
10:12:07,1000,6280.0
10:12:14,5576,6280.0
10:12:27,7000,6280.0
10:12:32,13700,6280.0
10:12:36,10000,6280.0
10:12:47,1023,6280.0
10:12:59,1400,6280.0
10:13:00,8890,6290.0
10:13:00,1110,6290.0
10:13:05,8317,6280.0
10:13:24,92712,6280.0
10:13:24,7288,6280.0
10:13:30,12712,6280.0
10:13:30,7288,6280.0
10:13:37,23334,6280.0
10:13:46,1,6280.0
10:13:47,2000,6290.0
10:13:53,2000,6280.0
10:14:03,876,6290.0
10:14:10,30000,6280.0
10:14:12,2000,6280.0
10:14:21,2094,6290.0
10:14:23,1,6280.0
10:14:26,1762,6290.0
10:14:48,1612,6280.0
10:14:56,16366,6290.0
10:15:20,1300,6290.0
10:15:20,1157,6280.0
10:15:22,2000,6280.0
10:15:24,7537,6290.0
10:15:37,2000,6290.0
10:15:42,2000,6290.0
10:15:46,130607,6280.0
10:15:46,69312,6280.0
10:15:54,23919,6290.0
10:16:09,855,6290.0
10:16:15,7919,6290.0
10:16:23,2078,6290.0
10:16:25,1336,6290.0
10:16:31,11221,6280.0
10:16:45,1834,6280.0
10:16:53,28845,6290.0
10:16:55,1000,6280.0
10:17:05,3000,6280.0
10:17:17,5808,6280.0
10:17:25,4006,6280.0
10:17:28,30428,6280.0
10:17:28,6595,6280.0
10:17:36,3208,6280.0
10:17:51,2492,6280.0
10:17:53,61096,6280.0
10:17:53,138904,6280.0
10:17:57,54994,6280.0
10:17:59,900,6280.0
10:18:03,830,6280.0
10:18:15,804,6280.0
10:18:17,951,6290.0
10:18:20,3568,6280.0
10:18:20,6432,6280.0
10:18:22,1000,6280.0
10:18:25,5000,6290.0
10:18:29,10000,6290.0
10:18:31,100000,6280.0
10:18:33,40927,6280.0
10:18:38,1500,6280.0
10:18:40,800,6290.0
10:18:50,9149,6280.0
10:18:54,7764,6280.0
10:18:56,66112,6290.0
10:19:13,2000,6290.0
10:19:20,20000,6280.0
10:19:22,978,6280.0
10:19:29,1900,6280.0
10:19:45,7957,6280.0
10:19:53,2393,6280.0
10:19:53,1107,6280.0
10:19:54,53126,6280.0
10:19:54,4000,6280.0
10:19:54,13140,6290.0
10:19:54,1000,6290.0
10:19:54,10845,6290.0
10:20:12,29163,6280.0
10:20:12,5000,6290.0
10:20:20,23000,6280.0
10:20:33,76000,6280.0
10:20:47,13604,6280.0
10:20:47,20000,6280.0
10:20:47,166396,6280.0
10:20:52,800,6290.0
10:20:53,30456,6290.0
10:20:54,33604,6280.0
10:20:54,166396,6280.0
10:20:57,2000,6290.0
10:21:02,10000,6280.0
10:21:05,23604,6280.0
10:21:05,12573,6280.0
10:21:06,1000,6290.0
10:21:14,10000,6280.0
10:21:16,1808,6280.0
10:21:22,1024,6280.0
10:21:26,900,6280.0
10:21:29,67073,6280.0
